ID,Days,Name,AcIn,DA,EA,EO,DA_order,SatWeekDay,SunWeekDay,Sent,groupType
1,,OTHER,TRUE,TRUE,FALSE,FALSE,11,FALSE,FALSE,TRUE,5
2,0,SAME DAY,TRUE,TRUE,FALSE,FALSE,1,TRUE,TRUE,TRUE,1
6,3,THIRD DAY,TRUE,TRUE,FALSE,FALSE,5,FALSE,FALSE,TRUE,4
7,5,ECONOMY (3-5 DAYS),FALSE,FALSE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
8,1,EXPRESS (Next Day),FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,2
9,2,STANDARD (2 DAYS),FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,0
10,1,SPECIAL,TRUE,FALSE,TRUE,TRUE,12,FALSE,FALSE,TRUE,11
11,1,OVERNIGHT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,12
12,5,WHITE GLV Signature+,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
13,,PREMIUM,TRUE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,12
14,,STANDARD,TRUE,FALSE,TRUE,TRUE,12,FALSE,FALSE,TRUE,5
15,,ECONOMY,TRUE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,12
16,,LTL,TRUE,TRUE,FALSE,FALSE,11,FALSE,FALSE,TRUE,6
17,0,NFO,TRUE,TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,1
18,,OTC,FALSE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,11
19,1,NEXT DAY,TRUE,TRUE,FALSE,FALSE,3,FALSE,FALSE,TRUE,2
20,2,SECOND DAY,TRUE,TRUE,FALSE,FALSE,4,FALSE,FALSE,TRUE,3
21,5,DEFERRED 3-5 DAY,TRUE,TRUE,FALSE,FALSE,6,FALSE,FALSE,TRUE,5
22,,TRUCK LOAD (FTL),TRUE,TRUE,FALSE,FALSE,7,FALSE,FALSE,TRUE,7
23,,CROSS DOCK,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,8
24,,LOCAL,TRUE,TRUE,FALSE,FALSE,8,FALSE,FALSE,TRUE,18
25,,STORAGE / WAREHOUSE,TRUE,TRUE,TRUE,TRUE,12,FALSE,FALSE,TRUE,8
26,,AIR CHARTER,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,17
27,,AIR EXPORT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,12
28,,AIR IMPORT,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,13
29,,EXPRESS/COURIER,FALSE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,12
30,,ONBOARD COURIER,TRUE,FALSE,TRUE,FALSE,12,FALSE,FALSE,TRUE,12
31,,FCL EXPORT,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,14
32,,FCL IMPORT,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,15
33,,LCL EXPORT,TRUE,FALSE,FALSE,TRUE,12,FALSE,FALSE,TRUE,14
